,ProductID,Name,Category,Price,Sale_Date,Total_sales_Quantity,Total_Sales_Transactions,Revenue
0,46,Product_46,Toys,224.26,2025-03-04 08:58:24,21,1,4709.46
1,170,Product_170,Books,9.35,2025-03-04 08:58:24,5,1,46.75
2,173,Product_173,Clothing,495.16,2025-03-04 08:58:24,33,1,16340.28
3,236,Product_236,Electronics,452.37,2025-03-04 08:58:24,30,1,13571.1
4,72,Product_72,Clothing,97.46,2025-03-03 08:58:24,26,1,2533.96
5,344,Product_344,Home Appliances,371.29,2025-03-03 08:58:24,21,1,7797.09
6,484,Product_484,Electronics,77.03,2025-03-03 08:58:24,20,1,1540.6
7,487,Product_487,Electronics,493.38,2025-03-03 08:58:24,48,1,23682.24
8,244,Product_244,Home Appliances,220.84,2025-03-02 08:58:24,7,1,1545.88
9,402,Product_402,Electronics,199.51,2025-03-01 08:58:24,12,1,2394.12
10,101,Product_101,Books,243.33,2025-02-27 08:58:24,45,1,10949.85
11,254,Product_254,Books,493.25,2025-02-27 08:58:24,17,1,8385.25
12,17,Product_17,Books,477.12,2025-02-26 08:58:24,9,1,4294.08
13,488,Product_488,Home Appliances,471.64,2025-02-26 08:58:24,12,1,5659.68
14,184,Product_184,Books,343.27,2025-02-25 08:58:24,1,1,343.27
15,418,Product_418,Toys,264.58,2025-02-25 08:58:24,14,1,3704.12
16,440,Product_440,Electronics,381.6,2025-02-25 08:58:24,10,1,3816.0
17,11,Product_11,Clothing,298.98,2025-02-24 08:58:24,39,1,11660.22
18,295,Product_295,Home Appliances,248.99,2025-02-24 08:58:24,16,1,3983.84
19,317,Product_317,Books,357.75,2025-02-24 08:58:24,11,1,3935.25
20,327,Product_327,Toys,370.97,2025-02-24 08:58:24,47,1,17435.59
21,354,Product_354,Clothing,82.66,2025-02-24 08:58:24,28,1,2314.48
22,423,Product_423,Books,487.59,2025-02-24 08:58:24,21,1,10239.39
23,497,Product_497,Clothing,224.19,2025-02-24 08:58:24,4,1,896.76
24,146,Product_146,Toys,468.75,2025-02-23 08:58:24,43,1,20156.25
25,73,Product_73,Toys,342.36,2025-02-22 08:58:24,49,1,16775.64
26,225,Product_225,Clothing,219.19,2025-02-22 08:58:24,25,1,5479.75
27,256,Product_256,Electronics,58.25,2025-02-22 08:58:24,40,1,2330.0
28,43,Product_43,Books,99.22,2025-02-21 08:58:24,2,1,198.44
29,213,Product_213,Electronics,410.57,2025-02-21 08:58:24,14,1,5747.98
30,238,Product_238,Books,137.11,2025-02-21 08:58:24,36,1,4935.96
31,101,Product_101,Books,243.33,2025-02-20 08:58:24,14,1,3406.62
32,424,Product_424,Books,44.58,2025-02-20 08:58:24,16,1,713.28
33,473,Product_473,Home Appliances,243.75,2025-02-20 08:58:24,7,1,1706.25
34,492,Product_492,Books,74.46,2025-02-20 08:58:24,39,1,2903.94
35,124,Product_124,Electronics,93.79,2025-02-19 08:58:24,32,1,3001.28
36,225,Product_225,Clothing,219.19,2025-02-19 08:58:24,23,1,5041.37
37,339,Product_339,Toys,233.87,2025-02-19 08:58:24,7,1,1637.09
38,398,Product_398,Home Appliances,82.28,2025-02-19 08:58:24,24,1,1974.72
39,363,Product_363,Books,92.59,2025-02-18 08:58:24,46,1,4259.14
40,368,Product_368,Clothing,359.22,2025-02-18 08:58:24,36,1,12931.92
41,105,Product_105,Toys,245.39,2025-02-17 08:58:24,29,1,7116.31
42,240,Product_240,Electronics,417.38,2025-02-17 08:58:24,26,1,10851.88
43,320,Product_320,Electronics,197.46,2025-02-17 08:58:24,9,1,1777.14
44,125,Product_125,Toys,211.28,2025-02-16 08:58:24,42,1,8873.76
45,242,Product_242,Electronics,350.8,2025-02-15 08:58:24,8,1,2806.4
46,301,Product_301,Clothing,83.24,2025-02-15 08:58:24,46,1,3829.04
47,310,Product_310,Toys,247.43,2025-02-15 08:58:24,22,1,5443.46
48,426,Product_426,Books,161.99,2025-02-15 08:58:24,33,1,5345.67
49,77,Product_77,Electronics,377.27,2025-02-14 08:58:24,25,1,9431.75
50,80,Product_80,Books,281.61,2025-02-14 08:58:24,34,1,9574.74
51,106,Product_106,Toys,290.51,2025-02-14 08:58:24,10,1,2905.1
52,121,Product_121,Clothing,40.92,2025-02-14 08:58:24,8,1,327.36
53,228,Product_228,Clothing,209.4,2025-02-14 08:58:24,6,1,1256.4
54,284,Product_284,Electronics,422.79,2025-02-14 08:58:24,2,1,845.58
55,286,Product_286,Electronics,213.66,2025-02-14 08:58:24,19,1,4059.54
56,328,Product_328,Toys,33.27,2025-02-14 08:58:24,5,1,166.35
57,172,Product_172,Home Appliances,437.72,2025-02-13 08:58:24,2,1,875.44
58,22,Product_22,Books,330.05,2025-02-12 08:58:24,3,1,990.15
59,443,Product_443,Home Appliances,54.2,2025-02-12 08:58:24,16,1,867.2
60,337,Product_337,Toys,480.13,2025-02-11 08:58:24,45,1,21605.85
61,481,Product_481,Toys,197.99,2025-02-11 08:58:24,33,1,6533.67
62,239,Product_239,Clothing,375.48,2025-02-10 08:58:24,18,1,6758.64
63,498,Product_498,Toys,389.16,2025-02-10 08:58:24,9,1,3502.44
64,245,Product_245,Books,88.66,2025-02-09 08:58:24,41,1,3635.06
65,407,Product_407,Toys,387.03,2025-02-09 08:58:24,21,1,8127.63
66,472,Product_472,Toys,426.62,2025-02-09 08:58:24,25,1,10665.5
67,20,Product_20,Home Appliances,476.56,2025-02-08 08:58:24,8,1,3812.48
68,23,Product_23,Books,434.39,2025-02-08 08:58:24,41,1,17809.99
69,39,Product_39,Toys,443.68,2025-02-08 08:58:24,41,1,18190.88
70,266,Product_266,Home Appliances,236.44,2025-02-08 08:58:24,21,1,4965.24
71,312,Product_312,Toys,277.88,2025-02-08 08:58:24,47,1,13060.36
72,91,Product_91,Toys,122.69,2025-02-07 08:58:24,33,1,4048.77
73,118,Product_118,Home Appliances,184.65,2025-02-07 08:58:24,8,1,1477.2
74,200,Product_200,Home Appliances,449.54,2025-02-07 08:58:24,27,1,12137.58
75,238,Product_238,Books,137.11,2025-02-07 08:58:24,17,1,2330.87
76,264,Product_264,Books,325.0,2025-02-07 08:58:24,20,1,6500.0
77,268,Product_268,Clothing,301.49,2025-02-07 08:58:24,18,1,5426.82
78,362,Product_362,Toys,31.68,2025-02-07 08:58:24,17,1,538.56
79,413,Product_413,Electronics,481.42,2025-02-07 08:58:24,9,1,4332.78
80,110,Product_110,Electronics,102.46,2025-02-06 08:58:24,32,1,3278.72
81,65,Product_65,Home Appliances,329.57,2025-02-05 08:58:24,22,1,7250.54
82,231,Product_231,Toys,133.98,2025-02-05 08:58:24,29,1,3885.42
83,416,Product_416,Electronics,362.74,2025-02-05 08:58:24,6,1,2176.44
84,132,Product_132,Clothing,114.86,2025-02-04 08:58:24,20,1,2297.2
85,234,Product_234,Clothing,187.38,2025-02-04 08:58:24,40,1,7495.2
86,252,Product_252,Electronics,195.77,2025-02-04 08:58:24,28,1,5481.56
87,362,Product_362,Toys,31.68,2025-02-03 08:58:24,44,1,1393.92
88,392,Product_392,Home Appliances,266.11,2025-02-03 08:58:24,42,1,11176.62
89,478,Product_478,Books,242.82,2025-02-03 08:58:24,25,1,6070.5
90,289,Product_289,Electronics,487.81,2025-02-02 08:58:24,9,1,4390.29
91,164,Product_164,Electronics,442.95,2025-01-31 08:58:24,49,1,21704.55
92,217,Product_217,Books,259.85,2025-01-31 08:58:24,5,1,1299.25
93,450,Product_450,Toys,394.82,2025-01-31 08:58:24,35,1,13818.7
94,473,Product_473,Home Appliances,243.75,2025-01-31 08:58:24,29,1,7068.75
95,484,Product_484,Electronics,77.03,2025-01-31 08:58:24,5,1,385.15
96,500,Product_500,Books,100.74,2025-01-31 08:58:24,20,1,2014.8
97,269,Product_269,Toys,498.17,2025-01-30 08:58:24,15,1,7472.55
98,395,Product_395,Toys,128.35,2025-01-30 08:58:24,22,1,2823.7
99,484,Product_484,Electronics,77.03,2025-01-30 08:58:24,17,1,1309.51
100,14,Product_14,Toys,220.68,2025-01-29 08:58:24,20,1,4413.6
101,55,Product_55,Home Appliances,127.75,2025-01-29 08:58:24,6,1,766.5
102,296,Product_296,Electronics,308.04,2025-01-29 08:58:24,29,1,8933.16
103,301,Product_301,Clothing,83.24,2025-01-29 08:58:24,46,1,3829.04
104,444,Product_444,Clothing,400.21,2025-01-29 08:58:24,10,1,4002.1
105,498,Product_498,Toys,389.16,2025-01-29 08:58:24,24,1,9339.84
106,47,Product_47,Clothing,309.75,2025-01-28 08:58:24,38,1,11770.5
107,138,Product_138,Electronics,414.89,2025-01-28 08:58:24,48,1,19914.72
108,370,Product_370,Books,43.78,2025-01-28 08:58:24,18,1,788.04
109,422,Product_422,Electronics,54.43,2025-01-28 08:58:24,34,1,1850.62
110,368,Product_368,Clothing,359.22,2025-01-27 08:58:24,49,1,17601.78
111,422,Product_422,Electronics,54.43,2025-01-27 08:58:24,28,1,1524.04
112,477,Product_477,Books,182.65,2025-01-27 08:58:24,45,1,8219.25
113,199,Product_199,Electronics,415.41,2025-01-26 08:58:24,28,1,11631.48
114,248,Product_248,Electronics,46.18,2025-01-26 08:58:24,32,1,1477.76
115,318,Product_318,Electronics,289.54,2025-01-26 08:58:24,9,1,2605.86
116,438,Product_438,Clothing,15.51,2025-01-26 08:58:24,8,1,124.08
117,480,Product_480,Toys,205.16,2025-01-26 08:58:24,23,1,4718.68
118,204,Product_204,Books,178.43,2025-01-25 08:58:24,26,1,4639.18
119,30,Product_30,Toys,49.27,2025-01-24 08:58:24,12,1,591.24
120,297,Product_297,Toys,239.47,2025-01-24 08:58:24,3,1,718.41
121,376,Product_376,Home Appliances,144.43,2025-01-24 08:58:24,1,1,144.43
122,390,Product_390,Home Appliances,139.43,2025-01-24 08:58:24,26,1,3625.18
123,428,Product_428,Home Appliances,237.91,2025-01-24 08:58:24,47,1,11181.77
124,40,Product_40,Clothing,362.17,2025-01-23 08:58:24,33,1,11951.61
125,237,Product_237,Electronics,245.51,2025-01-23 08:58:24,25,1,6137.75
126,245,Product_245,Books,88.66,2025-01-23 08:58:24,29,1,2571.14
127,424,Product_424,Books,44.58,2025-01-23 08:58:24,13,1,579.54
128,327,Product_327,Toys,370.97,2025-01-22 08:58:24,3,1,1112.91
129,461,Product_461,Books,76.82,2025-01-22 08:58:24,48,1,3687.36
130,42,Product_42,Home Appliances,460.98,2025-01-21 08:58:24,18,1,8297.64
131,202,Product_202,Clothing,445.16,2025-01-21 08:58:24,5,1,2225.8
132,303,Product_303,Books,416.87,2025-01-21 08:58:24,32,1,13339.84
133,348,Product_348,Toys,275.27,2025-01-21 08:58:24,10,1,2752.7
134,389,Product_389,Home Appliances,282.87,2025-01-21 08:58:24,34,1,9617.58
135,34,Product_34,Electronics,112.62,2025-01-20 08:58:24,17,1,1914.54
136,59,Product_59,Books,471.09,2025-01-20 08:58:24,14,1,6595.26
137,70,Product_70,Clothing,290.53,2025-01-20 08:58:24,18,1,5229.54
138,358,Product_358,Home Appliances,283.05,2025-01-19 08:58:24,7,1,1981.35
139,95,Product_95,Clothing,222.82,2025-01-18 08:58:24,48,1,10695.36
140,126,Product_126,Books,485.3,2025-01-18 08:58:24,21,1,10191.3
141,263,Product_263,Toys,146.3,2025-01-18 08:58:24,26,1,3803.8
142,424,Product_424,Books,44.58,2025-01-18 08:58:24,10,1,445.8
143,64,Product_64,Home Appliances,163.76,2025-01-16 08:58:24,45,1,7369.2
144,96,Product_96,Clothing,470.27,2025-01-16 08:58:24,50,1,23513.5
145,479,Product_479,Toys,477.85,2025-01-16 08:58:24,8,1,3822.8
146,183,Product_183,Books,147.34,2025-01-15 08:58:24,33,1,4862.22
147,324,Product_324,Toys,372.54,2025-01-15 08:58:24,24,1,8940.96
148,364,Product_364,Clothing,346.38,2025-01-15 08:58:24,44,1,15240.72
